spg,a,b,c,alpha,beta,gamma,wp0,x0,y0,z0,wp1,x1,y1,z1,wp2,x2,y2,z2,wp3,x3,y3,z3,wp4,x4,y4,z4,wp5,x5,y5,z5,wp6,x6,y6,z6,wp7,x7,y7,z7,target_coord0,target_coord1,target_coord2,target_coord3,target_coord4,target_coord5,target_coord6,target_coord7
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.25,0.0,4,0.20907536025570106,0.5409246397442988,0.04092463974429883,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.75,0.75,4,0.9590753602557011,0.45907536025570106,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.5,0.0,4,0.9590753602557011,0.9590753602557011,0.29092463974429883,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.0,0.25,4,0.7090753602557011,0.5409246397442988,0.5409246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.25,0.75,0.0,4,0.45907536025570106,0.9590753602557011,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.0,0.25,4,0.7909246397442989,0.7909246397442989,0.29092463974429894,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.5,0.75,4,0.20907536025570106,0.20907536025570106,0.7090753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.5,0.5,4,0.29092463974429883,0.45907536025570106,0.45907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.75,0.25,4,0.45907536025570106,0.9590753602557011,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.25,0.75,0.0,4,0.45907536025570106,0.9590753602557011,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.75,0.5,4,0.7909246397442989,0.29092463974429894,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.75,0.75,4,0.45907536025570106,0.9590753602557011,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.75,0.25,4,0.5409246397442988,0.04092463974429883,0.20907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.5,0.75,4,0.04092463974429883,0.20907536025570106,0.5409246397442988,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.25,0.75,4,0.9590753602557011,0.7909246397442989,0.45907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.5,0.5,4,0.7090753602557011,0.7090753602557011,0.7090753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.5,0.5,4,0.5409246397442989,0.7090753602557011,0.5409246397442988,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.0,0.5,4,0.20907536025570106,0.5409246397442988,0.04092463974429883,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.25,0.75,0.0,4,0.7909246397442989,0.45907536025570106,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.75,0.75,4,0.45907536025570106,0.7909246397442989,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.0,0.0,4,0.04092463974429883,0.04092463974429883,0.7090753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.75,0.5,4,0.45907536025570106,0.9590753602557011,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.5,0.75,4,0.45907536025570106,0.45907536025570106,0.29092463974429883,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.25,0.75,4,0.20907536025570106,0.5409246397442988,0.04092463974429883,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.25,0.0,0.75,4,0.9590753602557011,0.45907536025570106,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.25,0.75,4,0.7909246397442989,0.29092463974429894,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.0,0.0,4,0.45907536025570106,0.29092463974429883,0.45907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.25,0.0,4,0.9590753602557011,0.9590753602557011,0.29092463974429883,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.25,0.5,0.25,4,0.20907536025570106,0.04092463974429883,0.5409246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.5,0.5,4,0.7090753602557011,0.5409246397442988,0.5409246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.5,0.75,4,0.9590753602557011,0.7909246397442989,0.45907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.5,0.75,4,0.7909246397442989,0.45907536025570106,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.5,0.5,4,0.9590753602557011,0.29092463974429883,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.5,0.0,4,0.04092463974429883,0.04092463974429883,0.7090753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.0,0.0,4,0.7090753602557011,0.20907536025570106,0.20907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.25,0.75,0.0,4,0.29092463974429894,0.7909246397442989,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.5,0.75,4,0.45907536025570106,0.7909246397442989,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.75,0.75,4,0.29092463974429883,0.9590753602557011,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.5,0.75,4,0.5409246397442988,0.5409246397442989,0.7090753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.25,0.0,4,0.29092463974429894,0.7909246397442989,0.7909246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.0,0.0,4,0.9590753602557011,0.29092463974429883,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.75,0.25,4,0.5409246397442988,0.5409246397442989,0.7090753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.5,0.75,4,0.20907536025570106,0.04092463974429883,0.5409246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.0,0.5,4,0.5409246397442988,0.04092463974429883,0.20907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.75,0.25,4,0.7090753602557011,0.5409246397442988,0.5409246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.75,0.75,4,0.29092463974429883,0.9590753602557011,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.25,0.5,0.25,4,0.20907536025570106,0.7090753602557011,0.20907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.75,0.75,4,0.45907536025570106,0.45907536025570106,0.29092463974429883,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.0,0.5,4,0.7909246397442989,0.9590753602557011,0.45907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.5,0.0,4,0.5409246397442988,0.5409246397442989,0.7090753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.75,0.75,4,0.7090753602557011,0.04092463974429883,0.04092463974429883,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.5,0.0,4,0.7090753602557011,0.5409246397442988,0.5409246397442989,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.25,0.25,0.5,4,0.29092463974429883,0.9590753602557011,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.25,0.0,0.75,4,0.7090753602557011,0.20907536025570106,0.20907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.25,0.75,4,0.7909246397442989,0.7909246397442989,0.29092463974429894,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.25,0.0,4,0.29092463974429894,0.29092463974429894,0.29092463974429894,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.25,0.0,4,0.5409246397442988,0.04092463974429883,0.20907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.25,0.0,4,0.9590753602557011,0.29092463974429883,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.75,0.5,4,0.7909246397442989,0.9590753602557011,0.45907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.0,0.0,0.5,4,0.04092463974429883,0.20907536025570106,0.5409246397442988,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.75,0.25,0.0,4,0.9590753602557011,0.29092463974429883,0.9590753602557011,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
227,8.999029173477933,8.999029173477933,8.999029173477933,1.5707963267948966,1.5707963267948966,1.5707963267948966,5,0.5,0.0,0.0,4,0.45907536025570106,0.29092463974429883,0.45907536025570106,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,6,3,0,0,0,0,0,0
